Latitude,Mean Value
69.394856,1.975707547
69.385873,1.999089461
69.376889,1.890975721
69.367906,1.930408115
69.358923,1.92666512
69.34994,2.029119482
69.340957,2.026536313
69.331974,2.063010502
69.32299,2.089406971
69.314007,2.159253284
69.305024,2.154063604
69.296041,2.096870686
69.287058,2.153211418
69.278075,2.158357771
69.269092,2.142002658
69.260108,2.183038568
69.251125,2.259718069
69.242142,2.195643154
69.233159,2.178816199
69.224176,2.179838208
69.215193,2.18922229
69.206209,2.171291675
69.197226,2.119285854
69.188243,2.163289396
69.17926,2.187674511
69.170277,2.192520776
69.161294,2.142001198
69.152311,2.211874272
69.143327,2.226974952
69.134344,2.224586738
69.125361,2.213937804
69.116378,2.246640167
69.107395,2.248925434
69.098412,2.220930233
69.089429,2.216344331
69.080445,2.236076791
69.071462,2.314066592
69.062479,2.282079444
69.053496,2.225297144
69.044513,2.250903179
69.03553,2.277966102
69.026546,2.248942172
69.017563,2.361092033
69.00858,2.453090414
68.999597,2.666793602
68.990614,2.717355372
68.981631,2.543849437
68.972648,2.464017398
68.963664,2.551697531
68.954681,2.487932033
68.945698,2.524899828
68.936715,2.511583745
68.927732,2.538838475
68.918749,2.5625
68.909765,2.454380883
68.900782,2.523639607
68.891799,2.562294483
68.882816,2.585979308
68.873833,2.579477217
68.86485,2.664210526
68.855867,2.604688051
68.846883,2.713452299
68.8379,2.613817688
68.828917,2.641338912
68.819934,2.585141903
68.810951,2.659527825
68.801968,2.641251057
68.792984,2.626741871
68.784001,2.661740558
68.775018,2.617766251
68.766035,2.629767292
68.757052,2.648381877
68.748069,2.660355423
68.739086,2.631125828
68.730102,2.7041155
68.721119,2.60949209
68.712136,2.620695364
68.703153,2.654777704
68.69417,2.52209899
68.685187,2.589184692
68.676203,2.579788101
68.66722,2.58195271
68.658237,2.613041409
68.649254,2.58616251
68.640271,2.629659908
68.631288,2.626282051
68.622305,2.627151992
68.613321,2.675635277
68.604338,2.630347594
68.595355,2.637313433
68.586372,2.659539201
68.577389,2.609756098
68.568406,2.632672946
68.559422,2.611066301
68.550439,2.550403545
68.541456,2.614166933
68.532473,2.586096939
68.52349,2.546382044
68.514507,2.551248256
68.505524,2.592851593
68.49654,2.594036697
68.487557,2.600585336
68.478574,2.641586867
68.469591,2.577336767
68.460608,2.579631636
68.451625,2.565581254
68.442641,2.610913588
68.433658,2.639028094
68.424675,2.626149902
68.415692,2.610557185
68.406709,2.648482182
68.397726,2.664924506
68.388743,2.677173145
68.379759,2.657093624
68.370776,2.550929261
68.361793,2.606113033
68.35281,2.595855673
68.343827,2.661777271
68.334844,2.585796206
68.325861,2.587310912
68.316877,2.605858469
68.307894,2.602449568
68.298911,2.582111015
68.289928,2.576894557
68.280945,2.621723389
68.271962,2.633911921
68.262978,2.695978476
68.253995,2.730520394
68.245012,2.71
68.236029,2.767828957
68.227046,2.740274934
68.218063,2.67813127
68.20908,2.668628859
68.200096,2.66299528
68.191113,2.663743911
68.18213,2.692912281
68.173147,2.68698958
68.164164,2.669547038
68.155181,2.693519414
68.146197,2.697674419
68.137214,2.685759957
68.128231,2.710677226
68.119248,2.682152267
68.110265,2.675142779
68.101282,2.664542373
68.092299,2.694537198
68.083315,2.724049953
68.074332,2.692079342
68.065349,2.694241255
68.056366,2.732133473
68.047383,2.746534653
68.0384,2.725284679
68.029416,2.778482651
68.020433,2.774531071
68.01145,2.676879867
68.002467,2.663554987
67.993484,2.682366383
67.984501,2.696474524
67.975518,2.644604687
67.966534,2.719031677
67.957551,2.685809086
67.948568,2.689925373
67.939585,2.654176129
67.930602,2.627847779
67.921619,2.644464105
67.912635,2.615065392
67.903652,2.632334425
67.894669,2.655544148
67.885686,2.6027223
67.876703,2.65760461
67.86772,2.690544058
67.858737,2.61898875
67.849753,2.60350115
67.84077,2.5529019
67.831787,2.583728379
67.822804,2.576947678
67.813821,2.544393709
67.804838,2.626664975
67.795854,2.611787316
67.786871,2.659291469
67.777888,2.615653751
67.768905,2.598518326
67.759922,2.561302932
67.750939,2.615424231
67.741956,2.630316799
67.732972,2.597322093
67.723989,2.550447316
67.715006,2.603478923
67.706023,2.639414048
